|17
toast|7
people watching parade|3
street party|7
cars in a parade|1
dj|6
people chat|1
railings|1
blue video|1
children performing in the streets|1
group of students|1
little kids performing at school|1
megaphones|1
halloween game|1
a parade from where the seven dwarfs of snow white|1
congratulations speech|1
discussions|1
little boy|3
kid fooling around|1
speeking|1
walking to stage|4
love parade|1
opening card|2
conference hall|1
shields|1
graduation honors|1
walking up stage|1
night time procession|1
dog and boy looking in window|1
playing game|1
llkljkl|1
kitchen|26
cop|2
cot|3
street campaign|1
mickie mouse|1
school zone sign|1
sildewalk|1
winnie the pooh and tigger|1
kids in costumes at a halloween event at school|1
borthday|1
speak|1
soldiers in a military chant|1
martching|1
its a birthday party|2
charisma|1
balloon floats in the air|1
parade in mall|1
graudation ceromony|1
families|1
grads mingling|1
parade float fireworks crowd|1
fest|21
night lights float parade people|1
standing around picnic table|1
brightening|1
uncle sam|4
family birthday celebration|1
flags waving|1
night time street show|1
walt disney parade|3
fire accident|2
swingin bottle|1
young people|2
sirems|1
police car parade|1
leg up|1
perform|1
birthday candles|15
air plane|1
a kit car drives down the street|1
driving down a street|1
people sing at a graduation|1
plates|9
holloween|1
riders in santa costumes|1
bunny|1
wheel|2
girl guitar window wall picture boy|1
beach front parade|1
rain|11
hand|3
redneck|1
dancing show|1
disneys night time electrical parade|1
yoko uno|1
aladdin|2
lauging|1
group banner church choir stage|1
congrats|2
man driving a large float|1
art project|1
lanterns float|1
juegos|1
children stood on path|1
athletic|1
photo|11
opening toy|1
crowd dwarf lights night street psrade|1
fancy dress clothing|1
teens play indoor football|1
hills|1
photographer|6
police man walks across the room|1
soldiers marching|2
children walking|2
kids wearing red gowns|1
emcee on the microphone|1
garden night time party|1
caps|204
boxes|2
barge|1
cape|1
boy blows out candles|1
crowds gathered|1
street march|3
adults play basketball|1
night|258
young kids on a bus with an adult going to a parade|1
singing on a float|2
school performance|3
a car decorated|1
goes back into line|1
little kids graduation|3
golf cart parade|6
disney holiday parade|1
indoor show|1
congratulate|1
child walking|3
purple|6
festivities|1
men riding on float|1
filming|2
birthday occasion - maybe a surprise party|1
adorable|3
a topless lady sits in a truck|1
mardi grass|1
child holding on to mylar balloon|1
graduates|51
tortise|1
sports arena|1
post|2
rail people gown cap students|1
trophy|3
graduation pictures|1
kids graduation day|1
girls soccer|1
octopus|2
a military parade|1
float|546
profession|1
military parade ohh rah|1
people cheer on a streetparade|1
stumble|1
old fashioned clothing|2
a play|1
wall family tree window light cake table floor rug|1
little league|1
silly cup|1
people|879
maybe a birthday occasion|1
war|1
graduation for young students|1
no event|9
castle float|1
father carrying son|1
incredibles floats|1
boy opening present|1
saying happy birthday to camera|1
kid picks it's nose|1
ladybug|3
a presentation is made|1
family sing happy birthdat|1
school halloween social|1
family sing happy birthday|6
children's graduation|1
tractor pulling a float in a parade|1
lakers fans celebrate with them on their championship!|1
holding|16
men dancing on float|1
bulling|1
mother video taping|2
thumbs up|2
they start to sing|1
brothers|1
welcome|1
alice in wonderland|6
scores|1
audience seated in the bleachers|1
prisoners playing sport|1
young kids get certificates at sporting event|1
together|1
people watching|7
reception|2
fire works|2
dance|59
kids people cake knife grass men|1
little speaking in foreign language except for words happy birthday|1
lider|2
a convention waiters/waitresses preparing|1
flash|6
little kids birthday party|2
spruce creek highg school|1
people cap gown people chair step flower|1
partial usage of foreign language|1
black and gold uniforms|1
people seem to mock|1
family wall man light door kids|1
school ceromony|1
car with teddy time day care ad|1
christmas street parade|1
guitars|2
sidewalk|19
senior citizens|1
fire engines parade|1
fire turck|1
garden wedding ceremony|1
child playing ball|1
blinking lights|1
musical instrument playing|1
kid sining happy birthday|1
parent video taping|1
waving flags|4
uniform|37
man talking|3
dogs brithday party|1
chainlink|1
goldfish|1
hoops|3
teacher|28
orange chairs|1
flames|25
lakers|6
group play|1
mom encourages him|1
mother standing next to daughter|1
kids cap gown heart stage wall|1
pillow|3
homecoming|1
students singing.|1
fair featuring children's light up characters|1
white shirts|1
illumination|5
children's play|1
market|3
green birthday cake|1
recital kids|1
school award ceremony|1
noisy family pose for a photo|1
ladies wave|1
bored man|1
club|3
winter parade|1
envelope|6
shake hands|2
car|58
cap|34
children opening presents|2
cat|6
cak|1
can|2
recognition ceremony|1
cae|1
on stage|2
people standing|1
couple singing|1
nemo|1
cows|2
posing|4
graduates names|1
discussion|2
children walking around dispalying halloween  costumes|1
children graduation|10
baby table floor stool box toy tree|1
staircase|2
floor girl camera window hat glasses sofa|1
theme park|2
bear|8
police ceremony|1
lifting|1
crowd yelling|8
coffee cups|1
candles|356
trumpets|6
illuminations|3
perfoming|1
indoor fireworks|2
tubas|2
flashing lights|30
playful|2
color guard|1
baby birthday candle|1
baby playing balloon|1
kids awards applause gym|1
cold|2
flashing lightd|1
podium on stage|1
lighting display|2
christmas dinner seniors family birthday|1
parade dance|2
window|12
toy truck|1
musica|2
santa hats|4
bagpipes playing|1
kids singing in a classrooom|1
fairy godmother|4
video camera|1
hall|94
senior students at their graduation|2
no sense|1
birthday celebrartion|1
college dignitaries sitting on the stage|1
dancing group|1
child birthday|8
girl building lights night parade crowd|1
teams|15
hugging dog|1
dance show|2
swingset|2
motorbike convoy|1
eating food|2
looking|2
receiving|2
birthday cupcakes|1
cars|79
cart|5
granite countertop|1
marina|3
card|44
girl's birthday celebration|1
halloween with kids|1
children sining|1
handing out certificate|1
promotion|1
eating birthday cake|1
baby chair grandma table window|1
festive lighting|1
children eating cake|1
message|6
she bursts it|1
school program|1
hat baby candle flame|1
baby being filmed|1
hand actions|1
olympic flame|1
carousel|1
friend|1
poms|1
blowing paper balloon|1
children singing|13
a boy opens gifts|1
flowers|41
television|10
apples|1
cymbals|1
fruits|1
gallopers|2
lunches|1
fork|2
box open|1
messy birthday cake|1
breakfast|2
people on stage|1
children on stage|1
mother talking|1
veteran|1
grasuation|1
girl singing|3
birthday bumps|2
captain hook and mr smee|1
birthday cake|198
baby seat wall porch house shirt|1
utility poles|1
raising hoop|1
little girl smiling|1
high school grad|2
night time floats|1
america|11
birthday blowing out candles on a cake|1
unwrapping presents|1
graduation singing|1
birthday gift picture|1
woman playing happy birthday on guitar|1
circus parade|2
abraham|1
brother sister sofa table paper floor|1
diaper|1
podiums|1
room people wall ceiling screen|1
kid's gym|1
black robe|1
graduation webcast|1
playing karoke|1
ground|2
snack|1
colorful costumes|1
children holding hands|1
filipinos|1
kids dancing|3
pumpkin|7
birthyday cake|1
they return to their seats|1
daytime graduation parade|1
celebrate|9
photo taking|17
leather|1
kids spit on cake|1
happy brthday|1
nurses sing happy birthday to a patient|2
children talking|1
concert|30
bowling ally|2
grauation|5
blue and red|1
limited playback|1
chinese food|1
sport|48
loudspeaker|3
prarade|1
christening service|1
psar|1
kids performing|1
colours|4
3|3
people parade to music|1
two people standing waiting on the street|1
toy crib|2
living room|4
bikers ride into a yard|1
flag waving|17
bowling birthday party|1
eating sweets|1
birthday`1|1
children being coached at basketball|2
children's graduation event|1
amusement float|1
gym wall kids costumes parade hat|1
christmas float parade|1
cap gown students curtain stage wakk|1
learning|2
graduation of young kids|1
young students at a n event|1
pigtails|1
rocking car|1
calss|1
sat down|1
holding baby|1
girls night out drinking and dancing|1
elvis|1
american flags|2
people chat and laugh|1
fence bike window helmet tree house grass|1
eating cupcakes|1
waving arms|2
toddler playing|2
kids' basketball game|1
senior students graduating and throwing their hats into the air|1
emcee speaking into microphone|1
marching band parade|1
award ceremony|12
karoke|1
handing out diplomas|2
childrens school graduiation|1
crowds of students pile by to cheering|1
graduation speech time|1
graduating class|4
kids birthday singing cake family kitchen|1
group birthday|1
cymbal|1
fruit|5
padea|1
bagpipes|32
christmas lights|1
first birthday|6
graduation ceremony of young students|4
coordinate|1
baseball team mascot|1
choreography|3
they receive badges|1
dancers|88
neon|16
dwarve|1
fancy dress show|1
candle lit cake|10
pole sky tent people kids|1
costumes parade in gym|1
trinkets|1
school disney|1
kids graduating|3
playing on the beach|1
cd|1
lady|5
christmas light show w boats|1
kid opening gift|1
a helicopter flies by|1
wall stars kids banner hat door floor|1
marching band instruments|1
greeting|2
parents singing with children|1
nursery school|1
nighttime parade and circus act|1
children interacting|1
baby waiting for cake|2
baby reach for cake|1
birhtday|2
cap/gown|1
girls holding hands|1
marching band entering hall|1
instruments flag holders dancing|1
forks|1
mom talking to kids|1
weding|1
assembly|23
business|1
chefs|7
little boy opens a birthday gift|1
standing guard|1
stanging|1
throwing basketball|1
throw|3
photogaphy|1
placard|3
some kind of school event|1
wolf|2
trailer|1
kids in costumes -- could be halloween|1
soccer stretching|1
skunks|1
elementary|3
chiodren|1
rainbow parade|1
disneyworld|2
military are lined up to parade|1
man reading a statement in a public setting|1
pre-teen|1
students boy girl gown steps|1
basketball court at home|1
conducting a choir|1
strollers|1
christmas hat|1
appliance|1
ursula on float|1
studentts|1
family wall scarf camera kids fan ceiling floor|1
christmas tree|23
nighttime electrical parade|2
emergency service parade|2
2 kids at table singing happy birthday|1
little boy reading|1
kids costumes|1
maomao's graduation|1
sales|2
smiling young girl|2
players riunning|1
nerd|1
the group sings happy birthday|1
birtyhday|1
graduation ceremony of young kids|3
high school basketball game|1
united states colors|1
boy looks at a parade|1
whistling|6
small boy opening a present|1
podium|62
rowdy men|1
fun gathering|1
pooh|8
pool|1
building|15
baloons|1
cap and gown|41
embracing|1
strings|1
school kids|1
pointing|10
peacock|1
messy|4
children running|1
carpet|5
leather jackets|1
eating at restaurant|1
dinnertime|1
large truck|1
picnic table|3
girl and boy|1
robes|27
plaid|1
people gathered in a room|1
line up for graduation stage|1
baby being video taped and mom singing happy birthday|1
happy birthday banner|1
golf buggies|3
bridgeport|2
a girl unwrapping large present dad helps|1
locomotive|1
birthday celebation|1
fence|7
streets|4
darkness|16
wall window people horse|1
dribbling|6
people sat down at tables|1
batman float|4
bikers street parade|1
certificates|14
red and yellow caps/gowns|1
skyrockets|2
girl coat lights night flash|1
crowd lights roof house dance girl|1
tracks|1
pub|5
iraq|1
arena|10
tractors|3
creepy|2
soldier|13
unknown ceremony|2
advertising|3
klitchen|1
family|196
parade lights float|1
his family hug him|1
kids getting awards|1
mickey mouse|17
fatman|1
toys|59
weird family|1
bus trip|3
eye glasses|1
children sat inside toy car|1
presenting certificates|1
birthday gifts|6
the man is called forward|1
aladin|1
disney world|2
church|16
technology center of nashville|1
band playing|8
master of bussiness|1
hand shake|1
a holiday parade|1
winnie the pooh characters|1
group singing "happy birthday"|1
preacher speaking to audience|1
military formation|1
cars driving round a track|1
party video|1
a graduation ceremony of senior students|1
speaker at podium on stage|1
snowflake costumes|2
students sing at graduation|1
school sports awards event|1
singing 'happy birthday'|1
grads sing at their ceremony|1
waiting in line|3
rude|1
owner singing happy birthday|1
congratulating|2
ngiht|1
inabled|1
reading from card|1
large crowds|1
racetrack|4
christmas parade|30
dogs birthday|4
scaring|1
hat falls|1
fans watching|1
stilt walkers|2
cyclists|1
baby customes parade|1
hell|1
childrens sports day|1
fanning|1
movie poster|1
evening|8
people walking in room|1
dim|1
food|73
decorated golf carts|1
cupcake|17
whistle blowing for violations by referee|1
graduation stage|1
passing ball to each other|1
police award ceremony|3
dwarfs street night lights tree building|1
firefaighters|1
fairy|4
dance team|1
barrels|2
singing happy birthday at a restaurant|1
bunch of people standing around|1
floor kids window chairs table wall|1
crowd waving and clapping|1
event|25
new years eve|2
ights|1
rail night lights umbrella jacket|1
happy birthday singsong|1
drink|4
young students graduate|1
costume sidewalk parents camera grass house|1
school hall|1
houses|6
electrical animation|1
disney floats|1
cheering|154
american|3
crowd waiting|1
people singing in a darkened room|1
chefs academy graduation|1
tumbletoss|1
boy rubbing eyes|1
opeing a gift|1
young boy opens presents|1
birthday celebration in hospital|1
camera flashing|1
graduation march|3
kid eats cake at a picnic|1
horse|13
girls dancing|1
banana|1
children gathered|1
bus ride|1
translation|1
blowing out candle|6
headlights flashing|1
performers|11
acknowledgement|1
woman sits down|1
wheelchair child birthday party|1
bride|1
mickey|9
parade hat dogs street light pole sky building car bike|1
family room|1
crowded event|1
empty seats|2
sining|2
profesionales|1
jelly fish|1
a marching band parade.|1
lit|3
opening birthday card|1
light up|4
kicking a ball on the beach|1
accepting diploma|2
kids baskestball game|1
paeade|1
toddler girl|1
kid randomly crying|1
a marching band parades|1
aeropostale|1
red balloon|1
yellow bumble bees|1
celebrities|1
disneyland night show|1
graduaton|1
birtyday|1
girl stood outside|1
scooter|1
d.a.r.e|1
circle|2
child eating sphagetti|1
standing on soccer field|1
santa motorcycle parade|1
trees|41
famous|1
birthdayparade|1
competing|1
blow out candle|3
baby sitting at table eating cake with a fork|1
flag bearers|5
little children singing|1
lantern show|2
throwing|19
street performance|1
girl blows out cake|1
culture|1
family fathering|1
close|2
girl birthday cake|1
pictures|12
hair salon|1
aspiring chefs|1
walking to the stage|1
group performance|1
tries again from mid line and misses|1
street parade dance|1
waiting his turn|1
birthday crowd|1
podium floor stage gown cap curtain|1
searchlights|1
graduation performance|1
fattie|1
night time parade|5
baby singing happy birthday|1
catwalk|1
walt disney|1
kid and birthday card|1
crowds cheer|2
same boat releases fireworks|1
graudation|7
wearing hats|1
field lines crowd gown cap tree|1
insrtuments|1
mob dance|1
rope|1
lights on display|1
people celebrate birthday|1
animated|1
hooters|1
high school graduation|11
school children singing in hall|1
many women dancing at a dance michael jackson and are being recorded|1
floor step boy woman cake candle flame knife|1
racing cars|1
hallway|4
classmates|1
little boys birthday|1
indoor soccer game|3
overweight|1
girl celebrating birthday|1
kid candle cake mom chair hands|1
cityscape|1
string of lights|1
asian conversation|3
face painting|1
dancing snowmen|1
kids making noises|1
officers|1
graduation picture|3
singing at a street parade|1
praying|1
afro|1
takes place in restaurant|2
exercising|1
boats decorated with lights|1
unspecified event involving young kids|1
elves|1
march|49
cruise ship parade|1
pardade|1
camera flash|1
game|108
friends listening to music|1
wings|4
little girls|1
parade w firetrucks|1
nice house|1
sleigh|6
boy tries to blow out the candle|1
parade|5833
degree ceremony|1
handing out gifts|1
bag pipe|1
a stage with a podium and banner|1
eating|77
witch hat|2
rug|8
sky band shoes street tree flute people|1
sky tree building group kids parade crowd|1
soccer training|1
lit up float parade|1
kids graduation from their class|1
race track|1
birthday photos & party|1
blowing birthday candle|1
disneys boo to you parade|1
woman makes a speech at a grad ceremony|1
kids singing happy birthday|5
girl gown cap podium wall people|1
parent helping him|1
crowds line street|1
men sailor building uniform hat pants|1
young woman|2
sparkling dress|1
auditoroum|1
blow out|1
paper plates/eating utensils|1
ceremonies|4
birthday occasion|121
adults|68
highlander playing bagpipes|1
graduation reception|1
cast member looks angry|1
old fashioned clothes|1
blowing out candles on birthday cake|1
dishing up cake|1
men on side of car|1
baby crib|1
award show|1
dark sky|1
placing honor scarf|1
electrical|10
hoopla|1
they eventually get blown out|1
cup people kids drink ball|1
hat throwing|2
spectators|126
birthday card|12
luminaries|2
children in character costumes parade|1
an unknown assembly of young people - perhaps a musical|1
young kids singing and playing instruments at their graduation|1
spirit bottles|1
a mascot playing and dancing with small girls|1
outing|1
little girl sings|1
toddler talking gibberish|1
thank you speech|3
cooked food|1
girl wearing hat walking|1
speech given to a graduating class on a stage|1
band marches by|1
students walking in single file|1
suits|3
friendly|1
girl holding product|1
ukulele|1
wave|4
waiting room|1
crowed|2
stiff|1
kids basketball session|1
teppan|1
high school band|1
picket|2
jump|1
daytime parade|91
storm trooper|2
booth|2
navy graduation|1
policeman watches|1
cupcakes|9
paintings|1
putting on honor scarf|1
kids chair cap group|1
little kids singing happy birthday|2
poles|3
garduation ceremony|1
people waiting in the dark|1
referees|1
lighting candles|2
group of people walking together|1
ponytails|1
galleon|1
lorries|1
chant|1
congratulating graduates with handshake|1
parked cars|1
kid watching parade|1
person speaking about lily|1
wig|2
singins|1
cotton candy|4
gym hall|1
birthday candle|11
singing|886
cloud|1
toy dog|2
camera|46
vehicle|14
hiding|3
children being prepared for graduation ceremony|1
lights ceiling band flag men floor|1
night time electrical parade|1
young kids singing at a ceremony|1
young girl with dog being shot on video|1
car tree flag kids police chair parade|1
senior citizen|1
pocahontas|2
sky wire pole banner tent people street|1
announcing|1
clapping and bowing|2
ride|7
band music performance|1
a truck attempts to pass|1
birrthday|1
candle extinguishing|1
students waiting in line|1
semi-circle|1
looking sad|1
pulling|1
can't get it out|1
a graduation ceremony with a school dignitary making an announcement to the audience|1
perfoemance|1
chefs uniforms|1
cap gown wall clock kids boy girl ceiling|1
girl chair room candle cake books|1
child eating cake with fingers|2
someone shouts instructions|1
chiefs|1
cap gown woman flags curtain chair|1
dark lights float parade night|1
one year old birthday party|1
young boy reciting words in front of other people|1
dance recital|3
cutlery|1
claire|1
kids group wall floor shirt choir|1
disney character|2
photo flash|1
taking pictures|4
costume|33
string balloon window glass people|1
people play indoor footbll|1
a little blonde boy celebrating his second birthday|1
little girl singing happy birthday|3
happy birthday celebration|1
loud crowds|1
walking in|1
guy discussing eating cake|1
street parade for the lakers|1
sweets|6
reindeers|1
front|1
a referree signaling a jump ball|1
university|25
amateur soccer game indoors|1
crossing|1
druming|2
globe|2
n/a|1
mens basketball game|1
birthday wish|4
sing happy birthday song|1
crowd watching parade|1
children dressed in character costumes|1
entertainment|3
people on roof of building|1
surprise party|14
street parade|114
young boy|5
umbrella|4
cowbell|1
elementary school game|2
princess|9
graduation ceremony|396
darkening classroom|1
teachers parading babies and toddlers around|1
route|1
young girl's birthday|1
boy looks excited|1
baby looking at camera|1
graduation parade|2
bears|1
soccer practice|3
new york|1
tourists|1
beard|1
high chair|15
children around table singing happy birtday|1
photograph|1
group singing|14
superman costume|2
bed|5
having fun|1
kids sports day|1
middle school|1
night lights crowd building window|1
surprise house party|1
child eating cake|1
microphone|74
sprinkles|2
kids walking|4
graduands|5
graduation awards|8
tshirts|1
camper|1
graduation line-up|1
nighttime parade with christmas theme|1
kids singing in class|1
a team wave flags|1
awards ceremony|6
throwing a basketball|1
surgical masks|1
crowd cheering|21
skunk|6
a school dignitary announcing names at a graduation|1
kids play basketball|3
basketball practice|1
indoor|10
street dancing|6
childs birthday party|8
soldiers|31
line up|5
winner|3
white tablecloths|1
little kids|3
trucks|26
light show|6
white and blue hats|1
nurses graduating|1
grad|172
official|2
hardwood|2
pitch|1
orphan|1
coconut cake|1
black gowns|2
birthday occasion for a baby|1
ggraduation|1
hurrucan|1
people laugh at nothing|1
get together|1
tent|4
people riding float|1
buckets|5
wall boy candle box window lamp|1
huge street parade|1
kicking|17
young kids|1
merry|1
squads|1
police|36
chidren|2
graduation student sending video to parents|1
mom daughter tree bush kids ground|1
presentations|6
costume parade|16
jersey|3
tony cha cha|1
kids soccer practise|1
singing a song|2
someone shouts encouragement|1
boys singing|1
nerd in flat|1
cadets getting called on stage|1
kids playing a game|1
3rd birthday|1
a speech|1
woman holding certificates|1
baby and birthday cake|2
chirstmas|1
bacl caps/gowns|1
young boy reciting some paragraphs|1
blurry video|1
kids graduation ceremony|3
chocolate frosting cake with sprinkles|1
boy floor box toys books mom plastic wall carpet|1
chair cap gown kids students stage curtain|1
he throws paper around|1
house night crowd parade street|1
a birthday occasion|1
parade from 10th floor|1
kids school graduation|1
claps|21
grandma birthday|1
snowmen dancing|1
directing people|1
holding folk|1
balloon|65
adult pouring drinks|1
chants|1
making a wish|1
speaker|77
underground|1
party|539
line-up|4
riding train|2
kid talks|1
unknown event|7
lighting up birthday candles|1
reflection|2
lunch|4
kid boy wall floor chair food table cake fork knife|1
wonam|1
graduation ceremony of senior students|4
children receiving gifts at school|1
sitting in chair|1
woman makes a speech|4
lit instruments|1
festive tablecloth|1
balloong|1
twilight|2
family greeting each other - birthday occasion|1
ceiing fan|1
drivers parade formula one|2
fireworks going off in an arena|1
balloons|177
kick|3
pumpkin costume|1
baby walking|1
opening gift|2
baby trying to blow candle out|1
people outside house bench|1
lincoln|1
awards party|1
smilies|1
candy|11
young male|1
girl playing with soccer ball|1
rotc|2
sky cloudy parade street crowd float|1
guys i grass skirts|1
band boot parade sky tree headdress|1
shed|1
black and red caps/gowns|1
street performers|1
home|12
peter|1
cavalcade|1
overlay|1
alumnos|2
rewarding|1
wendy|2
girl stood on stage|1
sky pole flag banner march kids house sign light|1
football players|1
cake cutting|2
french horns|2
underexposed|1
dark room|1
prohibited|1
children graduates|1
kids table cupcake|1
little kids playing soccer.|1
people celebrating|1
mom speaking about daughter|1
night time disney parade|1
they cut the cake|1
celebrations|4
mom dishes table map wall fridge|1
witch on the cake|1
comparsa|3
kindergarten kids parading around in their halloween costimes|1
small kids playing basketball|4
audio video light|1
dr.seuss|1
parede|1
young kids dancing in the street|1
strawberries|1
following instructions|1
eat|6
mylar|1
childrens birthday|1
carriage|2
display|3
dog on sofa|1
hard rock cafe|2
kisses|1
child collecting certificate|1
little children sining|1
people talking|9
kid playing with balloon|2
balcony|4
boy sleeping|1
contest|1
golf carts parade|1
wedding dress street parade|1
flutes|3
crowd walking|1
star|2
people wall cake flame table cookies camera woman|1
speaking engagement|1
friends|25
paaade|1
old persons birthday celebration|1
graduation ceremony for a person who died in a traffic accident|1
upsidedown|1
birthday cake in a box|2
sign language|7
protest|7
asian|26
captain|1
sashes|1
float lights night street bug crowd|1
chuck e cheese|1
swan|2
presents|55
three little pigs|1
trousers|1
teaching|1
a red truck pulling a float with parade participants on it|1
kids bleachers teacher crowd|1
star spangled banner|1
dancing on street|1
a soldier congratulating a person|1
snowflakes|1
velas|1
blue graduation gowns|1
nursery|11
tree street hat group van|1
someone moving a chair|1
fancy dress parade|1
nurses singing|2
japanese|1
philippine graduation|1
birthday occasion where young girl is opening presents|1
playing with 2 little toys|1
birthday gathering|13
young girls ready to perform to music|1
orchestra|2
graduation celebration|4
awads|1
lights|391
net|6
gift unwrapping|1
helmets|2
mem|1
men|43
teenagers basketball game|1
remote control|1
active|1
a team parade down the street|1
parade group building boy|1
birthday in bed|1
guests|24
jackets|3
anniston|1
coffee mugs|1
smiling faces|1
army|18
music playing|13
christmas piper band|1
birthday cebration|1
girl opening birthday card|1
training|5
band playing instruments|1
little girl celebrating birthday|1
adult|26
flotilla|5
ward|1
room|29
kid sings happy birthday|2
setup|1
musical card|1
sports game|1
handing out|1
cupcae with lit candle|1
graduacion|2
disneys boo to you parade!!!!|1
calloon|1
music intro|1
five a side|1
stupidity|1
scooters|1
lantern parade|1
curiosity|1
schoolchildren|1
evening event|1
doggy parade|1
mices|1
car sign sky tree umbrella wheel cycle|1
boy behaves like an ass|1
athletes|6
flashes from cameras|2
family members|1
cymbols|1
yellow gowns|2
crowd sky cloud building parade|1
night kights float animals crowd|1
cap gown podium flowers floor chair crowd|1
kids in robes and caps|1
bluetooth headset|1
kids cap tassel chair wall|1
gente|1
lots of visitors watching parade pass by|1
night time concert|1
cake with candle|1
damcer|1
bedroom dress chair table girl wall bag paper|1
caterpillar|2
kid in a car|1
santa claus|2
paper lanterns|2
people take part in a parade|2
baby opening card|1
cake celebrating|1
child watching a parade|1
police graduation|3
meal|7
little baby dancing|1
fire ebgine|1
graduation procession|1
navy|15
baby jumping|1
stage balloon kids paper people|1
person with camera ready to take picture|1
motercycles|1
annoying family sing happy birthday to papa|1
girl puts blanket over her head|1
sparkle|2
surprise|26
grease|1
turning|1
city|11
patrade|2
hoodie|2
balloon star flag parade man woman|1
light up parade|3
hospital room|2
names being called out at graduation|1
holding cup|1
candals|9
girls talk to camera|1
firetrucks|6
loud|9
hoop|9
walkers|1
hook|1
100 birthday|1
mexican band|1
bicycle|6
grads|3
cutting a cake|1
girls|64
boating|2
family shout at kid to low candles|1
band performing at night|1
people stood on stage|1
bouncing|2
gym|21
gys|1
stocking|1
distance|1
disney characters|10
people glass balloon shirt table dishes|1
fairytale|1
golf buggys pass by|1
silly|1
mermaid|4
knights|2
people singing and dancing|2
eyes|2
traditional band plays outdoors|1
teacher students cap gown chair|1
flash mob|1
san diego|1
recital or play|1
sleeper|1
kids on parade|2
gold suits|1
buggies|2
toddler eating finger foods from yellow bowl|1
father holding baby eating spaghetti|1
saters|1
power poles|1
star wands|1
pinoccio|1
peace signs|1
waving chilean flag|1
excited kid|1
alarm|1
nighttime|24
dog|70
ceiling fan|1
lights and parade|1
celebrating a birthday|1
walking slowly|1
visitor|1
gynasium|2
sitting on the couch|1
tyke|1
holiday street parade|1
people sing|2
toy dog chases baby|1
night time street parade|11
people performing on the floats|1
colorful|16
opening a present|1
propeller hat|1
a group of girls greeting their friend mel a happy 21st birthday|1
birthday message|14
guy having a meal at a bar|1
bar|9
young child's birthday among her students|1
disco|2
bag|7
bad|1
shows a man being interviewed and the crowd laughs|1
gift. wrapping paper|1
4 vs 4|1
people sing happy birthday|3
parade from an apartment viewpoint|1
watching sports|1
blue uniform|1
snow white|13
pets|2
family gathering|9
nosiy|1
speaking two languages|1
students receiving awards at ceremony|1
night time street party|2
valedictorian|4
large video screen|1
birthday party at retirement home|1
playing trumpets|1
he looks back at parents|1
lanterns|2
disney costumes singing dancing parade|1
costume dressing|1
a mother and two sons making a video|1
projection television|1
three|1
parade music|4
caje candle flame dark people|1
it is a graduation|1
suprise party|3
carnival show|1
rainbow kids cap gown teacher board camera people|1
celebrating a kids 3rd irthday|1
sunshine|5
child's room|2
family gathering unknown occasion|1
tapping|1
birthday in hospital|2
mba graduation awards|1
candelabra|1
baby talks|3
tank|1
marching band in an arena|1
directing foot traffic|1
ugly|1
lizard|1
indoor parade|3
kid eating cake|1
pony tails|1
pastry|1
shamu|2
group birthday party|1
graduation ?|1
girl in a high chair smiling|1
greeting card|3
dotted cloth|1
mouse|6
star wars character parade|1
horses and cart|2
belle|1
lighted floats|4
blowing out candles|15
cake candles|1
balconey view|1
a christmas parade with a float and parade participants walking behind it|1
children reciting the abc's|1
kid|84
people waving from the floats|1
programs|4
light up floats|1
blowing cake|1
basket ball|3
college graduation ceremony|2
camp advertisement sign|1
human|1
marching drummers|1
girl graduation cap tassel gown group|1
character|7
graduation for small students|1
miltary parade|1
holding globe|1
sailors|10
daytime motorcycle parade|1
people sing happy birthday.|1
people crowd a street|1
santa clause|1
performing|19
soft toy|1
zombies|5
dean|3
elderly|2
children performing on stage|2
dining room|2
man blowing out candles on cake|1
very young children recieving gifts at school|1
lidfsdf|1
carts|4
wrapping paper|4
daytime|3
chocolate bar|1
family home|1
childs birthday song|1
be our guest|1
mock graduation|1
night time light show parade|1
nametags|1
yelling|20
party celebrations|1
sleeping bag|1
kid walks to teacher|1
millitary|1
high school|15
setting up chairs|1
fire truck parade|1
asians celebrating a birthday|1
birthday of a young girl|1
some kids are dancing|1
boy sticks out tongue|1
narration|2
someone lights candles using a lighter|1
girl waiting|2
walking together|1
parade crowd|1
NO_EVENT|44
facemasks|1
childrens halloween party|1
batman|2
fireworks|26
ford|1
spectators watching|1
hcmc|1
family singing happy birthday|2
kids play|1
man in womans clothing|1
people wearing t-shirts|1
daddy|5
soldiers enter in room|1
sticks|1
black shorts and white t-shirts|1
fleur de lis|1
ship|15
south africa|1
entering a home|1
tossing|1
machinary|2
just sayin|1
police escort|1
pulling faces|1
glowsticks|3
costumes parade|3
graduation fireworks|1
wall banner floor costume wig kids floor|1
fancy dress street parade|1
jacket|1
teeth|1
popping a balloon|1
throwing caps in the air|1
holding flags|3
blowing out candle on birthday cake|1
milk|2
flags people tree cloud float|1
caps and gowns|18
father|7
children singing a song|1
regatta|2
won't play|2
girl birthday|1
adult graduation|1
string|4
she makes a presentation to a man|1
halloween costume parade|1
mom and kids|1
bikers|2
holding a glass|1
holding bear|1
shoe|1
starwars|2
hat throw|2
people sing happy birthday in a disney store|1
run|3
children wearing white hats|1
lights night float pooh tigger parade|1
his classmate follows|1
transportation|2
dwarf|3
tibet|1
clerk|2
makeup|1
french|1
person speaking on microphone|1
slow|2
frosting|11
box|12
boy|88
africans attending a ceremony and singing|1
bow|6
toy story float|1
candles on cake|4
